algorithm,k,trip,from,to,distance_ft,load_lb,speed_ftps,time_s
knapsack,3,1,MUC,Dunham Hall,590,8.5,56.5,10.442477876106194
knapsack,3,1,Dunham Hall,MUC,590,0.0,65.0,9.076923076923077
greedy,3,1,MUC,Dunham Hall,590,8.5,56.5,10.442477876106194
greedy,3,1,Dunham Hall,MUC,590,0.0,65.0,9.076923076923077
knapsack,4,1,MUC,Rendleman Hall,300,5.279999999999999,59.72,5.023442732752847
knapsack,4,1,Rendleman Hall,Library,1355,4.799999999999999,60.2,22.50830564784053
knapsack,4,1,Library,MUC,1140,-8.881784197001252e-16,65.0,17.53846153846154
greedy,4,1,MUC,Rendleman Hall,300,5.279999999999999,59.72,5.023442732752847
greedy,4,1,Rendleman Hall,Library,1355,4.799999999999999,60.2,22.50830564784053
greedy,4,1,Library,MUC,1140,-8.881784197001252e-16,65.0,17.53846153846154
knapsack,5,1,MUC,Library,1140,13.600000000000001,51.4,22.17898832684825
knapsack,5,1,Library,Founders/Alumni Hall,300,10.400000000000002,54.599999999999994,5.494505494505495
knapsack,5,1,Founders/Alumni Hall,MUC,1325,1.7763568394002505e-15,65.0,20.384615384615383
greedy,5,1,MUC,Library,1140,13.600000000000001,51.4,22.17898832684825
greedy,5,1,Library,Founders/Alumni Hall,300,10.400000000000002,54.599999999999994,5.494505494505495
greedy,5,1,Founders/Alumni Hall,MUC,1325,1.7763568394002505e-15,65.0,20.384615384615383
knapsack,6,1,MUC,Rendleman Hall,300,6.0600000000000005,58.94,5.0899219545300305
knapsack,6,1,Rendleman Hall,Library,1355,3.5000000000000004,61.5,22.03252032520325
knapsack,6,1,Library,Vadalabene Center,1355,1.1000000000000005,63.9,21.205007824726135
knapsack,6,1,Vadalabene Center,MUC,1880,4.440892098500626e-16,65.0,28.923076923076923
greedy,6,1,MUC,Rendleman Hall,300,6.0600000000000005,58.94,5.0899219545300305
greedy,6,1,Rendleman Hall,Library,1355,3.5000000000000004,61.5,22.03252032520325
greedy,6,1,Library,Vadalabene Center,1355,1.1000000000000005,63.9,21.205007824726135
greedy,6,1,Vadalabene Center,MUC,1880,4.440892098500626e-16,65.0,28.923076923076923
knapsack,7,1,MUC,Science East,1320,9.1,55.9,23.613595706618963
knapsack,7,1,Science East,MUC,1320,0.0,65.0,20.307692307692307
greedy,7,1,MUC,Science East,1320,9.1,55.9,23.613595706618963
greedy,7,1,Science East,MUC,1320,0.0,65.0,20.307692307692307
knapsack,8,1,MUC,Library,1140,18.56,46.44,24.54780361757106
knapsack,8,1,Library,Vadalabene Center,1355,8.159999999999998,56.84,23.838845883180856
knapsack,8,1,Vadalabene Center,Science West,920,7.199999999999998,57.800000000000004,15.916955017301037
knapsack,8,1,Science West,MUC,1040,-1.7763568394002505e-15,65.0,16.0
greedy,8,1,MUC,Library,1140,18.56,46.44,24.54780361757106
greedy,8,1,Library,Vadalabene Center,1355,8.159999999999998,56.84,23.838845883180856
greedy,8,1,Vadalabene Center,Science West,920,7.199999999999998,57.800000000000004,15.916955017301037
greedy,8,1,Science West,MUC,1040,-1.7763568394002505e-15,65.0,16.0
knapsack,9,1,MUC,Rendleman Hall,300,19.080000000000002,45.92,6.533101045296167
knapsack,9,1,Rendleman Hall,Library,1355,17.48,47.519999999999996,28.51430976430977
knapsack,9,1,Library,Science East,645,12.68,52.32,12.327981651376147
knapsack,9,1,Science East,Science West,280,10.6,54.4,5.147058823529412
knapsack,9,1,Science West,Engineering Building,460,7.699999999999999,57.3,8.027923211169284
knapsack,9,1,Engineering Building,MUC,790,-8.881784197001252e-16,65.0,12.153846153846153
greedy,9,1,MUC,Rendleman Hall,300,19.080000000000002,45.92,6.533101045296167
greedy,9,1,Rendleman Hall,Library,1355,17.48,47.519999999999996,28.51430976430977
greedy,9,1,Library,Science East,645,12.68,52.32,12.327981651376147
greedy,9,1,Science East,Science West,280,10.6,54.4,5.147058823529412
greedy,9,1,Science West,Engineering Building,460,7.699999999999999,57.3,8.027923211169284
greedy,9,1,Engineering Building,MUC,790,-8.881784197001252e-16,65.0,12.153846153846153
knapsack,10,1,MUC,Founders/Alumni Hall,1325,5.76,59.24,22.36664415935179
knapsack,10,1,Founders/Alumni Hall,Science East,400,4.8,60.2,6.644518272425249
knapsack,10,1,Science East,MUC,1320,0.0,65.0,20.307692307692307
greedy,10,1,MUC,Founders/Alumni Hall,1325,5.76,59.24,22.36664415935179
greedy,10,1,Founders/Alumni Hall,Science East,400,4.8,60.2,6.644518272425249
greedy,10,1,Science East,MUC,1320,0.0,65.0,20.307692307692307
