k,algorithm,reloads,total_time_s
2,knapsack,1266,12121.668689917726
2,greedy,1875,17573.304694822935
3,knapsack,1266,30411.117880024904
3,greedy,1875,44247.00104657145
4,knapsack,1266,54198.56594195627
4,greedy,1875,79041.53625892982
5,knapsack,1266,63849.573193800505
5,greedy,1875,93224.92567708547
6,knapsack,1266,96220.80099199219
6,greedy,1875,140879.04161228111
7,knapsack,1266,99626.72216262632
7,greedy,1875,145754.69343629244
8,knapsack,1266,99762.27479956558
8,greedy,1875,145961.95620263182
9,knapsack,1266,103987.72702764261
9,greedy,1875,152226.52359144462
10,knapsack,1266,104266.10388628814
10,greedy,1875,152550.39753087304
