algorithm,k,reloads,total_time_s
knapsack,2,-1,0
greedy,2,-1,0
knapsack,3,0,19.51940095302927
greedy,3,0,19.51940095302927
knapsack,4,0,45.07020991905492
greedy,4,0,45.07020991905492
knapsack,5,0,48.05810920596913
greedy,5,0,48.05810920596913
knapsack,6,0,77.25052702753634
greedy,6,0,77.25052702753634
knapsack,7,0,43.92128801431127
greedy,7,0,43.92128801431127
knapsack,8,0,80.30360451805295
greedy,8,0,80.30360451805295
knapsack,9,0,72.70422064952695
greedy,9,0,72.70422064952695
knapsack,10,0,49.318854739469344
greedy,10,0,49.318854739469344
