algorithm,k,trip,from,to,distance_ft,load_lb,speed_ftps,time_s
knapsack,2,1,MUC,Rendleman Hall,300,0.11,64.89,4.623208506703652
knapsack,2,1,Rendleman Hall,MUC,300,0.0,65.0,4.615384615384615
greedy,2,1,MUC,Rendleman Hall,300,0.11,64.89,4.623208506703652
greedy,2,1,Rendleman Hall,MUC,300,0.0,65.0,4.615384615384615
knapsack,3,1,MUC,Dunham Hall,590,0.5,64.5,9.147286821705427
knapsack,3,1,Dunham Hall,MUC,590,0.0,65.0,9.076923076923077
greedy,3,1,MUC,Rendleman Hall,300,0.52,64.48,4.652605459057072
greedy,3,1,Rendleman Hall,Dunham Hall,625,0.5,64.5,9.689922480620154
greedy,3,1,Dunham Hall,MUC,590,0.0,65.0,9.076923076923077
knapsack,4,1,MUC,Rendleman Hall,300,2.1,62.9,4.769475357710652
knapsack,4,1,Rendleman Hall,Dunham Hall,625,1.1,63.9,9.780907668231611
knapsack,4,1,Dunham Hall,Library,645,1.0,64.0,10.078125
knapsack,4,1,Library,MUC,1140,0.0,65.0,17.53846153846154
greedy,4,1,MUC,Rendleman Hall,300,2.1,62.9,4.769475357710652
greedy,4,1,Rendleman Hall,Dunham Hall,625,1.1,63.9,9.780907668231611
greedy,4,1,Dunham Hall,Library,645,1.0,64.0,10.078125
greedy,4,1,Library,MUC,1140,0.0,65.0,17.53846153846154
knapsack,5,1,MUC,Rendleman Hall,300,3.4375,61.5625,4.873096446700508
knapsack,5,1,Rendleman Hall,Dunham Hall,625,2.65,62.35,10.024057738572575
knapsack,5,1,Dunham Hall,Library,645,2.05,62.95,10.246227164416203
knapsack,5,1,Library,Founders/Alumni Hall,300,0.8499999999999999,64.15,4.676539360872954
knapsack,5,1,Founders/Alumni Hall,MUC,1325,-1.1102230246251565e-16,65.0,20.384615384615383
greedy,5,1,MUC,Rendleman Hall,300,3.4375,61.5625,4.873096446700508
greedy,5,1,Rendleman Hall,Dunham Hall,625,2.65,62.35,10.024057738572575
greedy,5,1,Dunham Hall,Library,645,2.05,62.95,10.246227164416203
greedy,5,1,Library,Founders/Alumni Hall,300,0.8499999999999999,64.15,4.676539360872954
greedy,5,1,Founders/Alumni Hall,MUC,1325,-1.1102230246251565e-16,65.0,20.384615384615383
knapsack,6,1,MUC,Rendleman Hall,300,2.61875,62.38125,4.809137360985873
knapsack,6,1,Rendleman Hall,Dunham Hall,625,1.91875,63.08125,9.907856930545924
knapsack,6,1,Dunham Hall,Library,645,1.66875,63.33125,10.184545544261324
knapsack,6,1,Library,Founders/Alumni Hall,300,1.1,63.9,4.694835680751174
knapsack,6,1,Founders/Alumni Hall,Vadalabene Center,1085,0.2500000000000001,64.75,16.756756756756758
knapsack,6,1,Vadalabene Center,MUC,1880,1.1102230246251565e-16,65.0,28.923076923076923
greedy,6,1,MUC,Rendleman Hall,300,2.61875,62.38125,4.809137360985873
greedy,6,1,Rendleman Hall,Dunham Hall,625,1.91875,63.08125,9.907856930545924
greedy,6,1,Dunham Hall,Library,645,1.66875,63.33125,10.184545544261324
greedy,6,1,Library,Founders/Alumni Hall,300,1.1,63.9,4.694835680751174
greedy,6,1,Founders/Alumni Hall,Vadalabene Center,1085,0.2500000000000001,64.75,16.756756756756758
greedy,6,1,Vadalabene Center,MUC,1880,1.1102230246251565e-16,65.0,28.923076923076923
knapsack,7,1,MUC,Rendleman Hall,300,3.29125,61.70875,4.861547187392388
knapsack,7,1,Rendleman Hall,Dunham Hall,625,2.76,62.24,10.041773778920309
knapsack,7,1,Dunham Hall,Library,645,2.4099999999999997,62.59,10.305160568780956
knapsack,7,1,Library,Founders/Alumni Hall,300,2.3,62.7,4.784688995215311
knapsack,7,1,Founders/Alumni Hall,Vadalabene Center,1085,0.9999999999999998,64.0,16.953125
knapsack,7,1,Vadalabene Center,MUC,1880,-2.220446049250313e-16,65.0,28.923076923076923
greedy,7,1,MUC,Rendleman Hall,300,3.31125,61.68875,4.8631233409657355
greedy,7,1,Rendleman Hall,Dunham Hall,625,2.78,62.22,10.045001607200257
greedy,7,1,Dunham Hall,Library,645,2.4299999999999997,62.57,10.308454530925363
greedy,7,1,Library,Founders/Alumni Hall,300,2.32,62.68,4.786215698787492
greedy,7,1,Founders/Alumni Hall,Vadalabene Center,1085,1.0199999999999998,63.98,16.958424507658645
greedy,7,1,Vadalabene Center,Science East,720,0.019999999999999796,64.98,11.080332409972298
greedy,7,1,Science East,MUC,1320,-2.0469737016526324e-16,65.0,20.307692307692307
knapsack,8,1,MUC,Rendleman Hall,300,14.48,50.519999999999996,5.938242280285036
knapsack,8,1,Rendleman Hall,Library,1355,12.280000000000001,52.72,25.701820940819424
knapsack,8,1,Library,Founders/Alumni Hall,300,12.13,52.87,5.6742954416493285
knapsack,8,1,Founders/Alumni Hall,Vadalabene Center,1085,10.58,54.42,19.93752296949651
knapsack,8,1,Vadalabene Center,Science East,720,9.4,55.6,12.949640287769784
knapsack,8,1,Science East,Science West,280,0.15000000000000036,64.85,4.317656129529684
knapsack,8,1,Science West,MUC,1040,3.608224830031759e-16,65.0,16.0
greedy,8,1,MUC,Rendleman Hall,300,14.549999999999999,50.45,5.946481665014866
greedy,8,1,Rendleman Hall,Dunham Hall,625,12.349999999999998,52.650000000000006,11.870845204178536
greedy,8,1,Dunham Hall,Library,645,12.279999999999998,52.72,12.234446130500759
greedy,8,1,Library,Founders/Alumni Hall,300,12.129999999999997,52.870000000000005,5.674295441649328
greedy,8,1,Founders/Alumni Hall,Vadalabene Center,1085,10.579999999999997,54.42,19.93752296949651
greedy,8,1,Vadalabene Center,Science East,720,9.399999999999997,55.6,12.949640287769784
greedy,8,1,Science East,Science West,280,0.1499999999999968,64.85000000000001,4.317656129529683
greedy,8,1,Science West,MUC,1040,-3.191891195797325e-15,65.0,16.0
knapsack,9,1,MUC,Rendleman Hall,300,5.409999999999999,59.59,5.034401745259271
knapsack,9,1,Rendleman Hall,Library,1355,5.02875,59.97125,22.594159701523647
knapsack,9,1,Library,Founders/Alumni Hall,300,3.47875,61.52125,4.876363858016539
