algorithm,k,trip,from,to,distance_ft,load_lb,speed_ftps,time_s
knapsack,2,1,MUC,MUC,0,4.0,61.0,0.0
knapsack,2,1,MUC,MUC,0,0.0,65.0,0.0
knapsack,2,2,MUC,Rendleman Hall,300,16.7,48.3,6.211180124223603
knapsack,2,2,Rendleman Hall,MUC,300,0.0,65.0,4.615384615384615
greedy,2,1,MUC,MUC,0,0.02,64.98,0.0
greedy,2,1,MUC,Rendleman Hall,300,0.01,64.99,4.616094783812895
greedy,2,1,Rendleman Hall,MUC,300,0.0,65.0,4.615384615384615
knapsack,3,1,MUC,MUC,0,14.7,50.3,0.0
knapsack,3,1,MUC,Rendleman Hall,300,4.0,61.0,4.918032786885246
knapsack,3,1,Rendleman Hall,MUC,300,0.0,65.0,4.615384615384615
knapsack,3,2,MUC,Dunham Hall,590,6.4,58.6,10.06825938566553
knapsack,3,2,Dunham Hall,MUC,590,0.0,65.0,9.076923076923077
greedy,3,1,MUC,MUC,0,0.03,64.97,0.0
greedy,3,1,MUC,Rendleman Hall,300,0.019999999999999997,64.98,4.616805170821791
greedy,3,1,Rendleman Hall,Dunham Hall,625,0.009999999999999997,64.99,9.616864132943531
greedy,3,1,Dunham Hall,MUC,590,-3.469446951953614e-18,65.0,9.076923076923077
knapsack,4,1,MUC,MUC,0,16.099999999999998,48.900000000000006,0.0
knapsack,4,1,MUC,Rendleman Hall,300,5.399999999999999,59.6,5.033557046979865
knapsack,4,1,Rendleman Hall,Library,450,1.3999999999999986,63.6,7.0754716981132075
knapsack,4,1,Library,MUC,575,-1.3322676295501878e-15,65.0,8.846153846153847
knapsack,4,2,MUC,Dunham Hall,590,5.3,59.7,9.882747068676716
knapsack,4,2,Dunham Hall,MUC,590,0.0,65.0,9.076923076923077
greedy,4,1,MUC,MUC,0,0.04,64.96,0.0
greedy,4,1,MUC,Rendleman Hall,300,0.03,64.97,4.617515776512237
greedy,4,1,Rendleman Hall,Dunham Hall,625,0.019999999999999997,64.98,9.618344105878732
greedy,4,1,Dunham Hall,Library,290,0.009999999999999997,64.99,4.462224957685798
greedy,4,1,Library,MUC,575,-3.469446951953614e-18,65.0,8.846153846153847
knapsack,5,1,MUC,MUC,0,18.900000000000002,46.099999999999994,0.0
knapsack,5,1,MUC,Rendleman Hall,300,8.200000000000003,56.8,5.281690140845071
knapsack,5,1,Rendleman Hall,Dunham Hall,625,6.100000000000003,58.9,10.611205432937181
knapsack,5,1,Dunham Hall,Founders/Alumni Hall,1200,2.100000000000003,62.9,19.07790143084261
knapsack,5,1,Founders/Alumni Hall,MUC,1355,3.1086244689504383e-15,65.0,20.846153846153847
knapsack,5,2,MUC,Library,575,2.9,62.1,9.25925925925926
knapsack,5,2,Library,MUC,575,0.0,65.0,8.846153846153847
greedy,5,1,MUC,MUC,0,0.05,64.95,0.0
greedy,5,1,MUC,Rendleman Hall,300,0.04,64.96,4.618226600985222
