algorithm,k,reloads,total_time_s
knapsack,2,1,10.826564739608218
greedy,2,0,9.23147939919751
knapsack,3,1,28.678599864858466
greedy,3,0,23.310592380688398
knapsack,4,1,39.91485273684671
greedy,4,0,27.544238686230614
knapsack,5,1,73.92236395619182
greedy,5,0,53.703140650360176
knapsack,6,1,93.17026871338449
greedy,6,0,72.78739363292375
knapsack,7,1,120.99092372016932
greedy,7,0,74.10426454073348
knapsack,8,1,127.05072262204865
greedy,8,0,78.57556439918763
knapsack,9,1,149.8398790281412
greedy,9,0,89.43278462343699
knapsack,10,1,137.5181723176845
greedy,10,0,99.82961789962121
