algorithm,trip,from,to,distance_ft,load_lb,speed_ftps,time_s
knapsack,1,MUC,Art and Design,1330,18.169999999999998,46.83,28.400597907324364
knapsack,1,Art and Design,Dunham Hall,1090,14.219999999999999,50.78,21.465143757384798
knapsack,1,Dunham Hall,Vadalabene Center,1130,4.3199999999999985,60.68,18.622280817402768
knapsack,1,Vadalabene Center,MUC,1635,1.5999999999999983,63.4,25.78864353312303
knapsack,2,MUC,Art and Design,1330,15.77,49.230000000000004,27.01604712573634
knapsack,2,Art and Design,Peck Hall,1675,13.77,51.230000000000004,32.69568612141323
knapsack,2,Peck Hall,Library,280,7.569999999999999,57.43,4.875500609437577
knapsack,2,Library,Science East,460,5.529999999999999,59.47,7.734992433159577
knapsack,2,Science East,MUC,940,3.2999999999999994,61.7,15.235008103727713
knapsack,3,MUC,Art and Design,1330,15.2,49.8,26.70682730923695
knapsack,3,Art and Design,Rendleman Hall,1565,14.2,50.8,30.80708661417323
knapsack,3,Rendleman Hall,MUC,300,0.0,65.0,4.615384615384615
knapsack,4,MUC,Engineering Building,1140,16.54,48.46,23.524556335121748
knapsack,4,Engineering Building,Art and Design,485,13.54,51.46,9.424795958025651
knapsack,4,Art and Design,Dunham Hall,1090,11.37,53.629999999999995,20.324445273168006
knapsack,4,Dunham Hall,Rendleman Hall,625,9.62,55.38,11.285662694113398
knapsack,4,Rendleman Hall,MUC,300,7.499999999999999,57.5,5.217391304347826
knapsack,5,MUC,Peck Hall,645,16.0,49.0,13.16326530612245
knapsack,5,Peck Hall,Library,280,13.9,51.099999999999994,5.479452054794521
knapsack,5,Library,Vadalabene Center,1060,3.75,61.25,17.306122448979593
knapsack,5,Vadalabene Center,MUC,1635,0.0,65.0,25.153846153846153
knapsack,6,MUC,Rendleman Hall,300,12.64,52.36,5.729564553093965
knapsack,6,Rendleman Hall,Founders/Alumni Hall,1085,11.64,53.36,20.3335832083958
knapsack,6,Founders/Alumni Hall,Library,920,10.63,54.37,16.921096192753357
knapsack,6,Library,Science West,625,4.680000000000001,60.32,10.361405835543767
knapsack,6,Science West,MUC,985,1.2800000000000007,63.72,15.458254865034526
knapsack,7,MUC,Science West,985,0.02,64.98,15.15851031086488
knapsack,7,Science West,MUC,985,0.0,65.0,15.153846153846153
knapsack,8,MUC,Library,575,0.02,64.98,8.848876577408433
knapsack,8,Library,MUC,575,0.0,65.0,8.846153846153847
knapsack,9,MUC,Library,575,0.05,64.95,8.852963818321786
knapsack,9,Library,MUC,575,0.0,65.0,8.846153846153847
knapsack,10,MUC,Science West,985,0.05,64.95,15.16551193225558
knapsack,10,Science West,MUC,985,0.0,65.0,15.153846153846153
knapsack,11,MUC,Founders/Alumni Hall,1355,0.06,64.94,20.865414228518635
knapsack,11,Founders/Alumni Hall,MUC,1355,0.0,65.0,20.846153846153847
knapsack,12,MUC,Vadalabene Center,1635,0.06,64.94,25.177086541422852
knapsack,12,Vadalabene Center,MUC,1635,0.0,65.0,25.153846153846153
knapsack,13,MUC,Library,575,0.2875,64.7125,8.885454896658295
